Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x06_Socket,JST_XA_S06B-XASK-1_1x06_P2.50mm_Horizontal,130.1,-74.175,-90,top
J2,Conn_01x06_Socket,JST_XA_S06B-XASK-1_1x06_P2.50mm_Horizontal,138.6,-86.675,90,top
